Wavelength,A,B,C,D50,D55,D65,D75,ID50,ID65
300,0.93,0,0,0.02,0.02,0.03,0.04,0,0
305,1.13,0,0,1.03,1.05,1.66,2.59,0,0
310,1.36,0,0,2.05,2.07,3.29,5.13,0,0
315,1.62,0,0,4.91,6.65,11.77,17.47,0,0
320,1.93,0.02,0,7.78,11.22,20.2,29.8,0.03,0.01
325,2.27,0.26,0.2,11.26,15.94,28.64,42.37,0.33,0.13
330,2.66,0.5,0.4,14.75,20.65,37.05,54.93,1.6,0.64
335,3.1,1.45,1.55,16.35,22.27,38.5,56.09,4.17,1.77
340,3.59,2.4,2.7,17.95,23.88,39.95,57.26,8.76,3.94
345,4.14,4,4.85,19.48,25.85,42.43,60,15.61,7.16
350,4.74,5.6,7,21.01,27.82,44.91,62.74,24.24,11.34
355,5.41,7.6,9.95,22.48,29.22,45.78,62.86,31.93,15.68
360,6.14,9.6,12.9,23.94,30.62,46.64,62.98,37.94,19.48
365,6.95,12.4,17.2,25.45,32.46,49.36,66.65,43.65,22.5
370,7.82,15.2,21.4,26.96,34.31,52.09,70.31,47.99,24.84
375,8.77,18.8,27.5,25.72,33.45,51.03,68.51,47.23,23.81
380,9.8,22.4,33,24.5,32.58,49.98,66.65,22.55,46.01
385,10.9,26.85,39.92,27.2,35.34,52.31,68.28,25.56,49.19
390,12.09,31.3,47.4,29.8,38.09,54.65,69.91,28.77,52.63
395,13.35,36.18,55.17,39.6,49.52,68.7,85.89,38.67,67.11
400,14.71,41.3,63.3,49.3,60.95,82.75,101.87,48.53,81.45
405,16.15,46.62,71.81,52.9,64.75,87.12,106.85,52.21,85.97
410,17.68,52.1,80.6,56.5,68.55,91.49,111.83,55.72,90.2
415,19.29,57.7,89.53,58.3,70.07,92.46,112.28,57.33,90.96
420,20.99,63.2,98.1,60,71.58,93.43,112.74,58.95,91.75
425,22.79,68.37,105.8,58.9,69.75,90.06,107.89,57.84,88.4
430,24.67,73.1,112.4,57.8,67.91,86.68,103.04,56.75,85.08
435,26.64,77.31,117.75,66.3,76.76,95.77,112.09,65.08,93.98
440,28.7,80.8,121.5,74.8,85.61,104.86,121.15,73.45,102.94
445,30.85,83.44,123.45,81,91.8,110.94,127.05,79.73,109.14
450,33.09,85.4,124,87.2,97.99,117.01,132.96,86.12,115.49
455,35.41,86.88,123.6,88.9,99.23,117.41,132.63,88.09,116.3
460,37.81,88.3,123.1,90.6,100.46,117.81,132.31,90.05,117.08
465,40.3,90.08,123.3,91,100.19,116.34,129.8,90.64,115.89
470,42.87,92,123.8,91.4,99.91,114.86,127.28,91.18,114.62
475,45.52,93.75,124.09,93.3,101.33,115.39,127.02,93.17,115.3
480,48.24,95.2,123.9,95.2,102.74,115.92,126.76,95.14,115.97
485,51.04,96.23,122.92,93.6,100.41,112.37,122.26,93.69,112.55
490,53.91,96.5,120.7,92,98.08,108.81,117.75,92.23,109.12
495,56.85,95.71,116.9,93.9,99.38,109.08,117.16,94.19,109.48
500,59.86,94.2,112.1,95.7,100.68,109.35,116.57,96.13,109.82
505,62.93,92.37,106.98,96.2,100.69,108.58,115.12,96.65,109.12
510,66.06,90.7,102.3,96.6,100.7,107.8,113.68,97.16,108.41
515,69.25,89.95,98.81,96.9,100.34,106.3,111.16,97.44,106.93
520,72.5,89.5,96.9,97.1,99.99,104.79,108.65,97.71,105.42
525,75.79,90.43,96.78,99.6,102.1,106.24,109.54,100.18,106.84
